,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
2019-03-02,68.64550428,40.94449341,18.26561443,6.358213788,6.405530896,12.5865688,18.62209359,17.96865085,14.03521495,25.01209723,41.43236863,16.92084743,28.70542211,107.1987679,128.6727734,96.98489666,66.19585737,50.06411563,46.86951477,43.01550056,35.29035614,56.22675445,56.35540276,81.93669734,1084.713257
2019-03-03,59.70529125,43.74729675,70.27437971,159.1718728,276.9723663,267.0578736,151.4476665,103.7293761,87.07789669,77.0125345,81.35445117,89.02148112,96.43082711,81.50792613,81.01928529,96.16435517,90.41812869,62.95570971,60.51229973,109.7843592,189.2325839,261.6877661,240.5565705,225.0965162,3061.938814
2019-03-04,172.0080306,166.8938004,159.5074835,238.132183,288.2543102,366.7199121,415.6021712,370.2998587,327.7654941,271.0333217,310.6360713,430.4215108,401.4986951,412.8230053,454.5758932,453.6224607,440.195641,351.0813958,357.7066989,390.8775899,383.2344001,343.118528,308.1728702,307.4402963,8121.621622
2019-03-05,287.8232058,283.1512708,257.2234804,219.2175834,182.4352585,191.6282834,155.0728936,103.791355,59.78329972,28.43983381,14.60863984,9.052287029,2.622498398,1.861015537,0.373728294,2.28041168,0.752422525,1.764217612,7.565229775,8.942785265,28.52125579,14.28537284,28.80895628,33.36111573,1923.366401
2019-03-06,28.55004672,21.6314387,38.08219266,95.28999334,107.9337294,169.5129791,197.7328864,202.3362455,189.7117861,211.9219062,241.5285171,320.0994597,366.5462889,355.6152924,276.9894399,246.172911,217.6944452,341.7890492,425.2805172,452.3354026,491.3854777,478.916663,493.5955401,539.3780596,6510.030268
2019-03-07,577.6087825,592.728021,566.7104564,563.8520443,544.7652559,551.1075914,544.6729397,538.6143344,599.5262059,633.291015,641.6366472,621.2016753,578.6525188,581.1466503,555.8319487,583.343207,589.7502661,554.7239397,513.7790923,464.6169341,430.5950735,420.7725822,446.3038573,392.7140632,13087.9451
2019-03-08,341.3712902,283.0093648,205.2705962,173.8538336,146.6567911,145.4562783,148.7936234,110.0955215,64.75334526,45.73510252,20.78441827,12.72792397,11.26963344,15.31713456,8.272117602,5.581693915,1.26024017,0.146006387,0.012782519,4.729532033,7.496487422,2.851663786,0.002905118,0.294333841,1755.74262
2019-03-09,5.165366302,43.75697442,45.98750583,41.40834997,35.01044198,31.22397781,54.19763548,51.57155713,76.60410215,115.835157,289.4123961,281.9138116,252.4769837,316.6057528,165.1064175,101.9327029,74.40118752,46.9431232,86.18300839,127.364974,207.8447335,295.3279728,359.9775206,445.3437642,3551.595417
2019-03-10,419.0625511,372.3604286,378.9195252,283.963917,322.2775901,301.1156336,331.8887038,385.6290707,501.8374233,538.8789634,566.5788092,520.743813,494.6859822,508.1728198,489.8063403,373.020777,306.9540461,368.0453631,424.9112223,374.1904138,367.7475552,401.2917599,399.3057487,446.7166897,9878.105147
2019-03-11,405.9414527,311.741281,311.6044469,256.7374935,215.3402283,232.5434623,261.120805,192.9754622,183.1139516,124.1195608,56.34391847,42.79656361,68.13529899,207.6637568,311.522916,190.5194241,184.1919773,227.3687149,319.3438446,390.6138203,499.9917656,507.5361754,492.7840439,531.6086001,6525.658964
